Titulo;Formato;Edicion;discos;Director;Year;Genero;Observaciones;Localizacion
Uno de los nuestros;Blu-Ray;Sencilla;2;Martin Scorsese;1990;Thriller. Drama | Mafia. Crimen. Años 70. Años 80;Warner Bros. Iconic Moments. Con slip cover. Incluye Blu-Ray de extras.;
Charlie y la fabrica de chocolate;Blu-Ray;Sencilla;1;Tim Burton;2005;Fantástico. Comedia. Infantil | Remake;Warner Bros. Iconic Moments. Con slip cover.;
Maggie;Blu-Ray/DVD;Combo;2;Henry Hobson;2015;Terror. Drama. Thriller | Zombis;Arnold Schwarzenegger. Combo DVD/Blu-Ray por divisa. Inopia Films.;
El Tren de las 3:10;Blu-Ray;Sencilla;1;James Mangold;2007;Western. Acción | Remake;Russell Crowe, Christian Bale. Filmax home video;
Viaje al fondo del mar;Blu-Ray;Sencilla;1;Irwin Allen;1961;Aventuras. Ciencia ficción;Edición sencilla Blu-Ray. Amary azul reciclable. Karma films. 20th Century-Fox;
La amenaza invisible Stealth;Blu-Ray;Sencilla;1;Rob Cohen;2005;Acción | Aviones. Ejército;Caja amaray azul c on cierre. Distribuido por Sony. Columbia Pictures.;
Snatch Cerdos y diamantes;Blu-Ray;Sencilla;1;Guy Ritchie;2000;Comedia | Comedia negra. Crimen. Mafia.;Distribuido por Sony. Caja Amaray azul normal. 2009 Sony Pictures Home Entertainment Inc;
Lagrimas del Sol;Blu-Ray;Sencilla;1;Antoine Fuqua;2003;Bélico. Acción | África. Ejército;Bruce Willis. Distribuido por Sony. Columbia Pictures;
Prospect;Blu-Ray;Sencilla;1;Christopher Caldwell, Zeek Earl;2018;Ciencia ficción;Selecta Visión. YouPlanet. Sitges 2018. Coproducción Estados Unidos-Canadá;Caja 2, debajo cama (2)
La pasión de Cristo;Blu-Ray/DVD;Sencilla;2;Mel Gibson;2004;Drama | Religión. Biblia. Gore;Incluye DVD de extras. Ref. 4749. Newmarket, Icon Productions;Caja 1, debajo cama (2)
Juana de Arco;Blu-Ray;Sencilla;1;Luc Besson;1999;Drama | Histórico. Biográfico. Siglo XV.;Milla Jovovich, John Malkovich. Divisa. Gaumont.;Caja 2, debajo cama (2)
Jojo's Bizarre Adventure Diamond's Unbreakable;Blu-Ray;Sencilla;1;Takashi Miike;2017;Acción. Fantástico | Manga. Live-Action;Selecta Visión. Toho. TBS. 20th Cenuty Fox;
Tokyo Ghoul;Blu-Ray;Sencilla;1;Kentarô Hagiwara;2017;Terror. Fantástico. Acción | Manga. Live-Action;Selecta Visión. Shôchiku. 20th Century Fox.;
La heroica Leyenda de Arslan;Blu-Ray;Sencilla;2;Noriyuki Abe;2015; Animación. Fantástico. Aventuras ;Jonu Media. Japan Weekend Anime. Serie de 25 episodios. Kodansha.;
Salt;Blu-Ray;Sencilla;1;Phillip Noyce;2010;Thriller. Acción | Espionaje;Angelina Jolie. Distribuido por Sony.Columbia Pictures. Edición extendida de lujo;Caja 3, debajo cama (1)
Lucy;Blu-Ray;Sencilla;1;Luc Besson;2014;Acción. Ciencia ficción. Thriller. ;Scarlett Johansson, Morgan Freeman. Universal. Europa Corp. Francia;Caja 3, debajo cama (1)
Chef;Blu-Ray;Sencilla;1;Jon Favreau;2014;Comedia | Familia. Cocina;Sony. Distribuido por Twentieth century Fox. Aldamisa Entertainment. Fetisov Teterin Films;Caja 3, debajo cama (1)
After Earth;Blu-Ray;Sencilla;1;M. Night Shyamalan;2013;Ciencia ficción. Acción. Aventuras;Jaden Smith, Will Smith. Distribuido por Sony. Columbia Pictures;Caja 3, debajo cama (1)
