Titulo;Formato;Edicion;discos;Director;Year;Genero;Observaciones;Localizacion
Cuentos de Terramar;DVD;Steelbook;2;Goro Miyazaki;2016;Animación. Fantástico. Aventuras | Fantasía medieval. Dragones.;Studio Ghibli. Buena Vista Home Entertainment. Nibariki. Aurum Producciones. Incluye DVD de extras.;
King of Thorn: El rey del espino;Blu-Ray/DVD;Sencilla;2;Kazuyoshi Katayama;2009;Animación. Ciencia ficción | Futuro postapocalíptico. Monstruos.;Selecta Visión. Sunrise, Inc.;
El Viento Se Levanta;Blu-Ray;Sencilla;1;Hayao Miyazaki;2013;Animación. Drama | Biográfico. Aviones. Años 20. Años 30.;Studio Ghibli. Vértigo Films. Wild bunch. Distribuido por Sony Pictures. 5 min de extras. Edición amaray azúl. (BD50);
El recuerdo de Marnie;Blu-Ray;Sencilla;1;Hiromasa Yonebayashi;2014;Animación. Drama. Fantástico | Amistad. Adolescencia. Vida rural;Studio Ghibli. Vértigo Films. Wild bunch. Distribuido por Sony Pictures. 9 min de extras. Edición amaray azúl. (BD50);
El Cuento de la Princesa Kaguya;Blu-Ray;Sencilla;1;Isao Takahata;2013;Animación. Fantástico. Drama | Cuentos. Siglo IX;Studio Ghibli. Vértigo Films. Wild bunch. Distribuido por Sony Pictures. Edición amaray azúl y caratula azúl. Más de 2 horas de contenido extra (BD50);
Isla de Perros;Blu-Ray;Sencilla;1;Wes Anderson;2018;Animación. Fantástico. Comedia. Aventuras | Stop Motion.;"Coproducción Estados Unidos-Alemania; American Empirical Pictures. 20th Century Fox (Isle of Dogs)";
FireWorks;Blu-Ray;Sencilla;1;Akiyuki Shinbo, Nobuyuki Takeuchi;2017;Animación. Romance. Fantástico | Adolescencia;Selecta Visión. TOHO. 20th Century Fox. Incluye postal exclusiva. Festival Interancional de Cine San Sebastian 2017;
Perfect Blue;Blu-Ray/DVD;Sencilla;2;Satoshi Kon;1997;Animación. Terror. Thriller. Drama | Drama psicológico.;Selecta Visión. Rex Entertainment. Mad House. 20th Century Fox. Edición 2016;
Nicky, la aprendiz de bruja;Blu-Ray;Sencilla;1;Takashi Shimizu;2014;Fantástico. Aventuras | Brujería. Remake;M3 (Mediatres estudio) Winds of Asia. Being, D.N. Dream Partners, EDKO Film, Kadokawa. Incluye doblaje catalán;
Pompoko;DVD;Sencilla;1;Isao Takahata;1994;Animación. Fantástico. Comedia. Drama;Productor: Hayao Miyazaki. Studio Ghibli. Aurum Producciones.;
Recuerdos del Ayer;DVD;Sencilla;1;Isao Takahata;1991;Animación. Drama. Romance | Infancia. Familia.;Productor: Hayao Miyazaki. Studio Ghibli. Aurum Producciones.;
Spirit, el corcel indomable;Blu-Ray;Sencilla;1;Kelly Asbury, Lorna Cook;2002;Animación. Aventuras. Infantil. Western | Animales. Caballos;DreamWorks Animation. DreamWorks. 20th Century Fox Entertainment. Edición Alemana con audio en castellano.;
Gru, mi villano favorito;Blu-Ray;Pack Amaray gordo;1;Pierre Coffin, Chris Renaud;2010;Animación. Comedia. Ciencia ficción. Infantil;Illumination Entertainment / Universal Pictures Pack con las tres peliculas de Gru y Los minions. Incluye doblaje catalán;
Gru 2, mi villano favorito;Blu-Ray;Pack Amaray gordo;1;Pierre Coffin, Chris Renaud;2013;Animación. Comedia. Ciencia ficción. Infantil;Illumination Entertainment / Universal Pictures Pack con las tres peliculas de Gru y Los minions. Incluye doblaje catalán;
Gru 3, mi villano favorito;Blu-Ray;Pack Amaray gordo;1;Kyle Balda, Pierre Coffin, Eric Guillon;2017;Animación. Comedia. Ciencia ficción. Infantil;Illumination Entertainment / Universal Pictures Pack con las tres peliculas de Gru y Los minions. Incluye doblaje catalán;
Los Minions;Blu-Ray;Pack Amaray gordo;1;Kyle Balda, Pierre Coffin;2015;Animación. Comedia | 3-D. Cine familiar.;Illumination Entertainment / Universal Pictures Pack con las tres peliculas de Gru y Los minions. Incluye doblaje catalán;
Shrek;Blu-Ray;Pack Cartón 4 Amaray's;1;Andrew Adamson, Vicky Jenson;2001;Animación. Comedia. Fantástico. Aventuras | Parodia. Cuentos.;DreamWorks Animation. DreamWorks SKG. Pacific Data Images. 20th Century Fox. Edición 2014. Amaray reciclable. Pack con las 4 peliculas;
Shrek 2;Blu-Ray;Pack Cartón 4 Amaray's;1;Andrew Adamson, Kelly Asbury, Conrad Vernon;2004;Animación. Comedia. Fantástico | Parodia. Cuentos. Fantasía medieval.;DreamWorks Animation. DreamWorks SKG. Pacific Data Images. 20th Century Fox. Edición 2014. Amaray reciclable. Pack con las 4 peliculas;
Shrek Tercero;Blu-Ray;Pack Cartón 4 Amaray's;1;Chris Miller, Raman Hui;2007;Animación. Comedia. Fantástico. Aventuras | Parodia.;DreamWorks Animation. Pacific Data Images (PDI). 20th Century Fox. Edición 2014. Amaray reciclable. Pack con las 4 peliculas;
Shrek, felices para siempre;Blu-Ray;Pack Cartón 4 Amaray's;1;Mike Mitchell;2010;Animación. Comedia. Fantástico. Aventuras | Parodia.;(Capitulo Final) DreamWorks Animation. Pacific Data Images (PDI). 20th Century Fox. Edición 2014. Amaray reciclable. Pack con las 4 peliculas;
BattleShip;Blu-Ray;Sencilla;1;Peter Berg;2012;Ciencia ficción. Acción. Bélico | Aventuras marinas;Universal Pictures. Film 44. Hasbro. Bluegrass Films. Distribuido por Paramount Spain. Incluye audio Catalán.;
Pacific Rim;Blu-Ray;Sencilla;2;Guillermo del Toro;2013;Ciencia ficción. Acción | Robots. Monstruos. Extraterrestres;Warner Bros., Legendary Pictures. Inclute BR de extras con horas de contenido. Amaray Reciclable. Santiago Segura;
Horizonte Final;Blu-Ray;Especial;1;Paul W.S. Anderson;1997;Ciencia ficción. Terror | Aventura espacial;Paramount Pictures. Distribuida por Paramount home Entertainment (Spain). Edición Especial Coleccionista. ;
Infiltrados;Blu-Ray;Sencilla;1;Martin Scorsese;2006;Thriller. Drama. Acción | Mafia. Remake. Crimen. Policíaco;Distribuida por Warner Bros.. Warner Bros., Plan B Entertainment, IEG Virtual Studios. Media Asia Films. Vertigo.  Amaray Reciclable;
Le Llamaban Jeeg Robot;Blu-Ray;Sencilla;1;Gabriele Mainetti;2015;Thriller. Drama. Fantástico | Superhéroes. Mafia;Selecta Visión. 20th Century Fox. Goon Films, RAI Cinema, Ministero per i Beni e le Attività Culturali. Edición 2017;
Invasión a la Tierra;Blu-Ray;Sencilla;1;Jonathan Liebesman;2011;Ciencia ficción. Acción | Extraterrestres. Ejército;Columbia Pictures. Original Film. Distribuida por Sony Pictures Home Entertainment;
Guerra Mundial Z;Blu-Ray;Sencilla;1;Marc Forster;2013;Acción. Ciencia ficción. Thriller. Terror | Pandemias. Zombis;Paramount Pictures, Skydance Productions. GK Films. Plan B Entertainment,;
El quinto elemento;Blu-Ray;Sencilla;1;Luc Besson;1997;Ciencia ficción. Acción | Cyberpunk. Película de culto;Divisa. Gaumont, Columbia Pictures, Pinewood Studios. Francia;
La guerra de los mundos;Blu-Ray;Sencilla;1;Steven Spielberg;2005;Ciencia ficción. Acción. Terror | Extraterrestres.;Tom Cruise. DreamWorks SKG, Paramount Pictures, Amblin Entertainment.;
Godzilla;Blu-Ray;Sencilla;1;Roland Emmerich;1998;Ciencia ficción. Fantástico. Acción | Monstruos.;TriStar Pictures, Centropolis Entertainment, Fried Films. Toho. Distribuido por Sony;
Marte (The Martian);Blu-Ray;Sencilla;1;Ridley Scott;2015;Ciencia ficción. Drama;20th Century Fox. Scott Free Productions, TSG Entertainment;
La Gran Revancha;Blu-Ray;Sencilla;1;Peter Segal;2013;Comedia | Deporte. Boxeo. Vejez;Warner Bros. Callahan Filmworks. Gerber Pictures. Amaray reciclable;
Al filo del Mañana;Blu-Ray;Sencilla;1;Doug Liman;2014;Ciencia ficción. Acción | Extraterrestres. Viajes en el tiempo;Tom Cruise. Warner Bros., 3 Arts Entertainment, Viz Media, Village Roadshow. Amaray Reciclable;
Rock of Ages;Blu-Ray;Sencilla;1;Adam Shankman;2012;Musical. Comedia. Drama | Música. Años 80;Tom Cruise. New Line Cinema, Offspring Entertainment, Corner Store Entertainment. Distribuida en España por Warner Bros;
El Último Samurai;Blu-Ray;Sencilla;1;Edward Zwick;2003;Aventuras. Acción. Drama | Japón feudal. Siglo XIX.;Tom Cruise. Warner Bros., The Bedford Falls Company, Cruise-Wagner Productions. Distribuido por Warner Bros;
Oblivion;Blu-Ray;Sencilla;1;Joseph Kosinski;2013;Ciencia ficción. Intriga | Futuro postapocalíptico.;Tom Cruise. Universal Pictures, Chernin Entertainment, Relativity Studios;
Valkiria;Blu-Ray;Sencilla;1;Bryan Singer;2008;Acción. Bélico | Histórico. II Guerra Mundial. Nazismo.;"Tom Cruise. Distribuido por Savor Ediciones. Emmon.  Coproducción Estados Unidos-Alemania; United Artists, Bad Hat Harry Productions, Studio Babelsberg, Metro-Goldwyn-Mayer (MGM)";
Salvar al soldado Ryan;Blu-Ray;Sencilla;1;Steven Spielberg;1998;Bélico | II Guerra Mundial;DreamWorks SKG, Paramount Pictures, Amblin Entertainment. Distribuida por Paramount Spain;
Capitán Phillips;Blu-Ray;Sencilla;1;Paul Greengrass;2013;Drama. Thriller | Aventuras marinas. Basado en hechos reales.  África.;Columbia Pictures, Michael De Luca, Scott Rudin Productions, Trigger Street Productions. Distribuido por 20th Century Fox. Sony Pictures;
Whiplash;Blu-Ray;Sencilla;1;Damien Chazelle;2014;Drama | Música. Jazz. Cine independiente USA;Sony Pictures Classics. Blumhouse Productions. Bold Films. Right of Way Films. Sierra. Distribuido por 20th Century Fox. Sony Pictures;
Independence Day contraataque;Blu-Ray;Sencilla;1;Roland Emmerich;2016;Ciencia ficción. Acción | Extraterrestres. Secuela. Fin del mundo;20th Century Fox, TSG Entertainment, Centropolis Entertainment, Electric Entertainment, Moving Picture Company. Amaray Reciclable;
Independence Day;Blu-Ray;Sencilla;1;Roland Emmerich;1996;Ciencia ficción. Acción | Extraterrestres. Fin del mundo;Distribuida por 20th Century Fox. Centropolis Entertainment. Diseño Edición 2015 ;
Transformers: La era de la extinción;Blu-Ray;Sencilla;2;Michael Bay;2014;Ciencia ficción. Acción. Aventuras. Comedia;Paramount Pictures, Hasbro, China Movie Channel. Distribuido por Paramount Spain. Incluye BR de extras;
Shooter: El tirador;Blu-Ray;Sencilla;1;Antoine Fuqua;2007;Acción. Thriller. Drama. Bélico | Crimen. Venganza;Paramount Pictures;
Marea negra;Blu-Ray;Sencilla;1;Peter Berg;2016;Acción. Drama | Basado en hechos reales. Catástrofes.;Eone. Distribuido por Aurum Producciones. Summit Entertainment, Participant Media.;
Plan de escape;Blu-Ray;Sencilla;1;Mikael Håfström;2013;Acción. Thriller | Drama carcelario;Eone. Distribuido por Aurum Producciones. EFO Films, Summit Entertainment;
Gran Torino;Blu-Ray;Sencilla;1;Clint Eastwood;2008;Drama | Vejez. Inmigración. Racismo. Amistad;Warner Bros., Village Roadshow, Malpaso Productions. Amaray Reciclable;
Million Dollar Baby;Blu-Ray/DVD;Sencilla;2;Clint Eastwood;2004;Drama | Deporte. Boxeo;Divisa. Warner Bros., Lakeshore Entertainment. Edición Combo BR/DVD. Caja transparente;
Kenshin, el guerrero samurái 2: Infierno en Kioto;Blu-Ray;Pack Blu-Ray Sencillo;1;Keishi Ohtomo;2014;Acción. Drama | Samuráis. Japón feudal. Siglo XIX. Manga. Live-Action.;M3 (Mediatres estudio) Winds of Asia. Warner Bros Pictures. Sitges 2014. Pack de dos amarays en funda de cartón con la parte II y III. Incluye libreto;
Kenshin, el guerrero samurái 3: El fin de la leyenda;Blu-Ray;Pack Blu-Ray Sencillo;1;Keishi Ohtomo;2014;Acción. Drama | Samuráis. Japón feudal. Siglo XIX. Manga. Live-Action;M3 (Mediatres estudio) Winds of Asia. Warner Bros Pictures. Sitges 2014. Pack de dos amarays en funda de cartón con la parte II y III. Incluye libreto;
Rocky;Blu-Ray;Digipack;1;John G. Avildsen;1976;Drama | Deporte. Boxeo;United Artists. Metro-Goldwyn-Mayer (MGM). Pack con las 6 películas de Rocky y la primera de Creed;
Rocky II;Blu-Ray;Digipack;1;Sylvester Stallone;1979;Drama | Deporte. Boxeo. Secuela;United Artists. Metro-Goldwyn-Mayer (MGM). Pack con las 6 películas de Rocky y la primera de Creed;
Rocky III;Blu-Ray;Digipack;1;Sylvester Stallone;1982;Drama | Deporte. Boxeo. Secuela;United Artists. Metro-Goldwyn-Mayer (MGM). Pack con las 6 películas de Rocky y la primera de Creed;
Rocky IV;Blu-Ray;Digipack;1;Sylvester Stallone;1985;Drama | Deporte. Boxeo. Secuela;United Artists. Metro-Goldwyn-Mayer (MGM). Pack con las 6 películas de Rocky y la primera de Creed;
Rocky V;Blu-Ray;Digipack;1;John G. Avildsen;1990;Drama | Deporte. Boxeo. Secuela;United Artists. Metro-Goldwyn-Mayer (MGM). Pack con las 6 películas de Rocky y la primera de Creed;
Rocky Balboa;Blu-Ray;Digipack;1;Sylvester Stallone;2006;Drama. Acción | Deporte. Boxeo. Secuela;Metro-Goldwyn-Mayer (MGM), Columbia Pictures, Revolution Studios. . Pack con las 6 películas de Rocky y la primera de Creed;
Creed. La leyenda de Rocky;Blu-Ray;Digipack;1;Ryan Coogler;2015;Drama | Deporte. Boxeo. Amistad. Enfermedad.;Metro-Goldwyn-Mayer (MGM), Warner Bros. Pack con las 6 películas de Rocky y la primera de Creed;
Alien vs. Predator;Blu-Ray;Sencilla;1;Paul W.S.Anderson;2004;Ciencia ficción. Terror. Fantástico. Acción;20th Century Fox, Brandywine Productions. Pack con las dos películas;
Alien vs. Predator 2;Blu-Ray;Sencilla;1;Colin Strause, Greg Strause;2007;Ciencia ficción. Terror. Fantástico. Acción;20th Century Fox, Davis Entertainment. Dune Entertainment. Pack con las dos películas;
FullMetal Alchemist La Estrella Sagrada de Milos;Blu-Ray;Sencilla;1;Kazuya Murata;2011;Animación. Fantástico. Aventuras. Comedia. Drama;Selecta Visión. Distribuido por Sony Pictures. Aniplex. Shôchiku;
The Wonderland;Blu-Ray;Sencilla;1;Keiichi Hara;2019;Animación. Fantástico | Sobrenatural. Literatura;Selecta Visión. Aniplex, Dentsu Inc, Fuji TV, Signal MD. Edición 2020;
Shin Chan Operación Espía de Oro;Blu-Ray;Sencilla;1;Sôichi Masui;2011;Animación. Comedia | Espionaje. Manga;Selecta Visión. Luk International. 20th Century Fox. Shin Chan: Misión imposible, la tormenta de oro. Película nº19;
Freedom;DVD;Sencilla;2;Shuhei Morita;2007;Serie de TV. Animación. Ciencia ficción. Aventuras.;Selecta Visión. Distribuido por Sony. Bandai Visual. Sunrise. Serie completa 7 episodios. Incluye doblaje en catalán.;
Matrix;Blu-Ray;Steelbook;1;Hermanas Wachowski;1999;Ciencia ficción. Fantástico. Acción;Productor: Joel Silver. Warner Bros., Village Roadshow. Incluye Documental Matrix Revisited;
Matrix Reloaded;Blu-Ray;Steelbook;1;Hermanas Wachowski;2003;Ciencia ficción. Fantástico. Acción. Thriller;Warner Bros., Village Roadshow. Incluye documentales: Detrás de Matrix y Enter the Matrix y galería de documentales;
Matrix Revolutions;Blu-Ray;Steelbook;1;Hermanas Wachowski;2003;Ciencia ficción. Fantástico. Acción. Thriller;Warner Bros., Village Roadshow. Documental detrás de Matrix;
Matrix;Blu-Ray;Pack Blu-Ray Sencillo;1;Hermanas Wachowski;1999;Ciencia ficción. Fantástico. Acción;Warner Bros., Village Roadshow. Trilogía Completa Matrix;
Matrix Reloaded;Blu-Ray;Pack Blu-Ray Sencillo;1;Hermanas Wachowski;2003;Ciencia ficción. Fantástico. Acción. Thriller;Warner Bros., Village Roadshow. Trilogía Completa Matrix;
Matrix Revolutions;Blu-Ray;Pack Blu-Ray Sencillo;1;Hermanas Wachowski;2003;Ciencia ficción. Fantástico. Acción. Thriller;Warner Bros., Village Roadshow. Trilogía Completa Matrix;
La Princesa Prometida;Blu-Ray/DVD;Especial;2;Rob Reiner;1987;Aventuras. Romance. Comedia. Fantástico;Ref. TS304. Metro-Goldwyn-Mayer.  Act III Productions. Buttercup Films Ltd. Distribuida por 20th Century Fox. Incluye DVD de extras. Funda de cartón (TS295). Musica Mark Knopfler;
Mongol;Blu-Ray;Sencilla;1;Sergey Bodrov;2007;Drama. Aventuras. Bélico | Biográfico. Siglo XIII;Karma Films. Coproducción Kazajstán-Rusia-Alemania-Mongolia. Incluye Slip-Cover;
Elfen Lied;Blu-Ray;Amaray Negro;2;Lynn Okamoto, Mamoru Kanbe;2004;Serie de TV. Animación. Ciencia ficción. Thriller;Japan Weekend Anime. Distribuida por TEMA Distribuciones. GENCO / VAP. 13 episodios;
Donnie Darko;Blu-Ray;Limitada funda cartón;1;Richard Kelly;2001;Fantástico. Ciencia ficción. Intriga | Drama psicológico.;Edición especial Limitada 0385/2000. Ref. TS432. Incluye 8 Postales. Caja de cartón con Amaray dentro.;Caja 1, debajo cama (2)
Resident Evil: Capítulo final;Blu-Ray;Sencilla;2;Paul W.S.Anderson;2017;Acción. Ciencia ficción | Zombis. Videojuego;Screen Gems, Capcom. Constantin Film, Davis Films, Impact Pictures. Distribuido por Sony Pictures Entertainment. Incluye BR de extras;
Jurassic Park;Blu-Ray;Sencilla;1;Steven Spielberg;1993;Ciencia ficción. Aventuras | Dinosaurios. Supervivencia;Universal Pictures, Amblin Entertainment. Distribuido por Paramount Spain bajo licencia de Universal.;
Le Mans '66;Blu-Ray;Steelbook;1;James Mangold;2019;Drama. Acción | Biográfico. Coches / Automovilismo. Amistad. Años 60. Basado en hechos reales;Distribuido por Disney. Coproducción Estados Unidos-Francia. Chernin Entertainment. 20th Century Fox. Basada en la historia real de Ford v. Ferrari. Cartón exterior con cajón donde guardar el SteelBook;
Alita: Ángel de combate;Blu-Ray 3D;Steelbook;2;Robert Rodriguez;2019;Ciencia ficción. Acción. Romance. Thriller.  Cyberpunk. Robots. Manga;Distribuida por 20th Century Fox. Productor: James Cameron. Lightstorm Entertainment, Troublemaker Studios. Incluye BR 3D.;
Maléfica Maestra del Mal;Blu-Ray;Steelbook;1;Joachim Rønning;2019;Fantástico. Aventuras | Cine familiar. Cuentos. Secuela;Distribuido por Disney. Coproducción Estados Unidos-Reino Unido. Walt Disney Pictures. Roth Films. Cartón exterior con cajón donde guardar el SteelBook;
Mad Max;Blu-Ray;Steelbook;1;George Miller;1979;Acción. Ciencia ficción | Road Movie. Futuro postapocalíptico.;Kennedy Miller Productions, Crossroads, Mad Max Films. Made in Denmark. Australia;
Mad Max 3. Más allá de la cúpula del trueno;Blu-Ray;Steelbook;1;George Miller, George Ogilvie;1985;Acción. Ciencia ficción | Western futurista. Futuro postapocalíptico.;Warner Bros. Made in Denmark. Australia;
One Cut of the Dead;Blu-Ray;Amaray Negro;1;Shinichirô Ueda;2017;Comedia. Terror | Cine dentro del cine. Zombis. Comedia de terror. Sátira;Cameo Media S.L. La Aventura Audiovisual S.L. ENBU Seminar. Nikkatsu. Versión Original Japonés con subtitulos  en castellano. Incluye Libreto.;
El Hombre sin Rostro;Blu-Ray;Sencilla;1;Mel Gibson;1993;Drama | Años 60. Infancia. Familia;Warner Bros. Ref. TS551;Caja 1, debajo cama (2)
Amitville el origen;Blu-Ray;Limitada funda cartón;1;Daniel Farrands;2018;Terror | Asesinos en serie. Familia;Gabita Barbieri. REF. 00201803. Edición limitada númerada 139/200;
Chernobyl;Blu-Ray;Sencilla;2;Craig Mazin (Creador), Johan Renck;2019;Serie de TV. Drama | Miniserie de TV. Basado en hechos reales. Catástrofes. Años 80. Política;Distribuida en España por Walt Disney Company Iberia S.L. Warner Bros. Distribuida por HBO. Coproducción Estados Unidos-Reino Unido. HBO. Sky Television;
Asesino invisible;Blu-Ray;Especial;1;Elliot Silverstein;1977;Terror. Thriller | Coches / Automovilismo. Policíaco. Road Movie;ReelOne. Con Slip-Cover. Amaray negro. Distribuida por Park Circus LTD en nombre de Universal Studios y disponible en España exclusivamente a través de Reel One Entertainment S.L. Incluye libreto.;
Society;Blu-Ray/DVD;Coleccionista;2;Brian Yuzna;1989;Terror. Intriga | Sátira. Comedia negra. Gore;Selecta Visión. 20th Century Fox. Re-Animator Productions Inc, Society Productions Inc. Incluye Pelicula en DVD y BR y libro, en funda de cartón. Edición 2014;
Cabaret;Blu-Ray/DVD;Especial;2;Bob Fosse;1972;Drama. Musical | Años 30. Nazismo. Baile;Allied Artists, ABC Pictures. Ref. TS511 Edición Limitada 0009/1600. Funda de cartón. Incluye 8 postales y DVD de extras;Caja 1, debajo cama (2)
Misfits (1a Temporada);Blu-Ray;Sencilla con funda cartón;2;Howard Overman, Tom Green;2009;Serie de TV. Fantástico. Comedia. Drama;Emitida por Channel 4. Clerkenwell Films (6 Episodios);
Misfits (2a Temporada);Blu-Ray;Sencilla con funda cartón;2;Howard Overman, Tom Green;2009;Serie de TV. Fantástico. Comedia. Drama;Emitida por Channel 4. Clerkenwell Films (7 Episodios);
Misfits (3a Temporada);Blu-Ray;Sencilla;2;Howard Overman, Tom Green;2009;Serie de TV. Fantástico. Comedia. Drama;Emitida por Channel 4. Clerkenwell Films (8 Episodios);
Ronja, la hija del bandolero;Blu-Ray;Digipack;3;Goro Miyazaki;2014;Serie de TV. Animación. Aventuras;Jonu Media. Studio Ghibli, NHK Enterprises, Polygon Pictures, NHK, Dwango;
La Familia Monster;DVD;Pack DVD Sencillo;12;VV.AA.;1964;Serie de TV. Comedia. Fantástico | Monstruos;Universal. Distribuido por Sony PicturesEntertainment. Blanco y negro. (1964-1966). 2 temporadas. 70 episodios;
Subspecies;Blu-Ray;Digipack;1;Ted Nicolaou;1991;Terror | Vampiros;Full Moon Features. TS169;
Bloodstone: Subspecies II;Blu-Ray;Digipack;1;Ted Nicolaou;1993;Terror. Thriller | Vampiros. Secuela;Full Moon Features. TS169;
Bloodlust: Subspecies III;Blu-Ray;Digipack;1;Ted Nicolaou;1994;Terror | Vampiros. Secuela;Full Moon Features. TS169;
Vampire Journals;Blu-Ray;Digipack;0;Ted Nicolaou;1997;Terror. Fantástico | Vampiros;"Coproducción Estados Unidos-Rumanía; Castel Film Romania, Full Moon Features. Esta pelicula se incluye en el mismo disco que ""Subspecies 4: Bloodstorm"". TS169";
Subspecies 4: Bloodstorm;Blu-Ray;Digipack;1;Ted Nicolaou;1998;Terror | Vampiros. Secuela;"Coproducción Estados Unidos-Rumanía; Castel Film Romania. TS169";
Nikita, dura de matar;Blu-Ray;Sencilla;1;Luc Besson;1990;Acción. Thriller | Película de culto;"Divisa Home Video 2017. Gaumont.  Divisa Red. Coproducción Francia-Italia; Cecchi Gori Group Tiger Cinematografica";
Danko: Calor Rojo;Blu-Ray;Sencilla;1;Walter Hill;1988;Acción | Policíaco. Mafia. Buddy Film. Película de culto;Divisa Home Video 2018. StudioCanal. Divisa Red. Edición licendiada oficial. Distribuida por TriStar Pictures. Carolco Pictures, Lone Wolf. Strong Oak Pictures. Schwarzenegger;
Guardianes de la Galaxia;Blu-Ray;Sencilla;1;James Gunn;2014;Ciencia ficción. Acción. Aventuras. Comedia;Marvel Studios, Marvel Entertainment,;
Ant-Man y la Avispa;Blu-Ray;Sencilla;1;Peyton Reed;2018;Ciencia ficción. Fantástico. Acción. Comedia;Marvel Studios;
Doctor Strange;Blu-Ray;Sencilla;1;Scott Derrickson;2016;Fantástico. Acción. Comedia | Magia.;Marvel Studios, Walt Disney Pictures;
Black Panther;Blu-Ray;Sencilla;1;Ryan Coogler;2018;Acción. Fantástico. Aventuras | Superhéroes.;Marvel Studios, Walt Disney Pictures;
IRIA;DVD;Sencilla;1;Tetsuro Amino;1993;Animación. Ciencia ficción. Aventuras;Selecta Visión. D-rights. Distribuido por Universal. Ashi Pro. Serie de seis OVAs de 35 minutos cada una. Edición 2006.;
Genesis Climber Mospeada;DVD;Sencilla con funda cartón;3;Katsuhisa Yamada;1983;Serie de TV. Animación. Ciencia ficción. Aventuras | Robots;Divimagic. Harmony Gold. Divisa. ARTMIC Studios, Tatsunoko Production. Idioma Japones con subtitulos en Español/ Portugués. 25 episodios en 3 DVD;
The Super Dimension Cavalry Southern Cross;DVD;Sencilla con funda cartón;3;Yasuo Hasegawa;1984;Serie de TV. Animación. Ciencia ficción. Acción | Robots;Super Dimensional Cavalry Southern Cross. Divimagic. Harmony Gold. Divisa. Tatsunoko Production, Big West. Idioma Japones con subtitulos en Español/ Portugués. 25 episodios en 3 DVD;
Los Inmortales. En busca de la venganza;DVD;Digipack;2;Yoshiaki Kawajiri;2007;Animación. Acción. Fantástico | Manga. Venganza;Jonu Media. Imagi Animation Studios. Madhouse. Distribuido por SAVOR. Incluye DVD de extras con documentales;
Alien, el octavo pasajero;Blu-Ray;Steelbook;1;Ridley Scott;1979;Ciencia ficción. Terror | Extraterrestres.;20th Century Fox, Brandywine Productions. Steelbook con las 6 peliculas en BR.;
Aliens: El regreso;Blu-Ray;Steelbook;1;James Cameron;1986;Ciencia ficción. Acción | Extraterrestres. Secuela.;20th Century Fox, Brandywine Productions. Steelbook con las 6 peliculas en BR.;
Alien³;Blu-Ray;Steelbook;1;David Fincher;1992;Ciencia ficción. Terror | Aventura espacial. Extraterrestres.;20th Century Fox, Brandywine Productions. Steelbook con las 6 peliculas en BR.;
Alien: Resurrección;Blu-Ray;Steelbook;1;Jean-Pierre Jeunet;1997;Ciencia ficción. Terror | Extraterrestres.;20th Century Fox, Brandywine Productions. Steelbook con las 6 peliculas en BR.;
Prometheus;Blu-Ray;Steelbook;1;Ridley Scott;2012;Ciencia ficción | Aventura espacial. Extraterrestres.;20th Century Fox, Scott Free Productions, Dune Entertainment, Brandywine Productions. Steelbook con las 6 peliculas en BR.;
Alien: Covenant;Blu-Ray;Steelbook;1;Ridley Scott;2017;Ciencia ficción. Terror | Extraterrestres.;20th Century Fox, Scott Free Productions, Brandywine Productions. Steelbook con las 6 peliculas en BR.;
Jurassic World: El reino caído;Blu-Ray 3D/Blu-Ray + DVD;Steelbook;3;J.A. Bayona;2018;Ciencia ficción. Aventuras. Acción | Dinosaurios.;Distribuida por Universal Pictures. Universal Pictures, Amblin Entertainment. Legendary Pictures. Incluye pelicula en Blu-Ray, BR 3D y DVD de extras. Ed. limitada.;
Jurassic World;Blu-Ray 3D/Blu-Ray + DVD;Sencilla;3;Colin Trevorrow;2015;Ciencia ficción. Acción. Aventuras | Dinosaurios.;Universal Pictures, Amblin Entertainment, Legendary Pictures. Pelicula en BR y BR 3D más DVD. Incluye funda slip-cover con lenticular.;
El mundo perdido: Jurassic Park;Blu-Ray;Sencilla;1;Steven Spielberg;1997;Ciencia ficción. Aventuras. Fantástico | Dinosaurios;Universal Pictures, Amblin Entertainment;
Jurassic Park III;Blu-Ray;Sencilla;1;Joe Johnston;2001;Ciencia ficción. Aventuras. Fantástico | Dinosaurios.;Universal Pictures, Amblin Entertainment;
Btooom!;Blu-Ray;Digipack;2;Kotono Watanabe;2012;Serie de TV. Animación. Acción. Ciencia ficción | Manga;Jonu Media. Incluye Photobook. Madhouse, Flying Dog, The Klockworx. Showgate. Studio Mausu 12 episodios.;
Divine Gate;Blu-Ray;Digipack;1;Noriyuki Abe;2016;Serie de TV. Animación. Acción. Fantástico | Manga;Jonu Media. Incluye Photobook. Pierrot. 12 episodios.;
Resident Evil;Blu-Ray;Sencilla;1;Paul W.S.Anderson;2002;Terror. Ciencia ficción. Acción | Zombis; Distribuido por Warner Bros. Constantin Film. Coproducción Reino Unido-Alemania-Francia-Estados Unidos.;
Resident Evil 2: Apocalipsis;Blu-Ray;Sencilla;1;Alexander Witt;2004;Acción. Ciencia ficción. Fantástico | Zombis. ;"Distribuido por Sony.  Constantin Film. Davis Impact. Screen Gems. Coproducción Reino Unido-Alemania-Francia;";
